sample_id,source_sample_id,true_label,source,dm,peak_sigma,peak_time_s,peak_sigma_matched,peak_time_matched_s
sample_000051,FRB20121102_0052,FRB,FRB20121102,566.0,3.85,0.3539,3.85,0.3539
sample_000052,FRB20121102_0053,FRB,FRB20121102,565.6,9.61,0.3559,9.61,0.3559
sample_000053,FRB20121102_0054,FRB,FRB20121102,566.2,10.25,0.3559,10.25,0.3559
sample_000054,FRB20121102_0055,FRB,FRB20121102,567.9,15.1,0.0767,15.1,0.0767
sample_000055,FRB20121102_0056,FRB,FRB20121102,568.5,4.23,0.348,4.23,0.348
sample_000056,FRB20121102_0057,FRB,FRB20121102,566.0,4.93,0.3539,4.93,0.3539
sample_000057,FRB20121102_0058,FRB,FRB20121102,566.0,5.31,0.3559,5.31,0.3559
sample_000058,FRB20121102_0059,FRB,FRB20121102,566.0,10.4,0.4129,10.4,0.4129
sample_000059,FRB20121102_0060,FRB,FRB20121102,569.4,4.75,0.348,4.75,0.348
sample_000060,FRB20121102_0061,FRB,FRB20121102,568.5,8.64,0.2064,8.64,0.2064
sample_000061,FRB20121102_0062,FRB,FRB20121102,566.0,4.78,0.3559,4.78,0.3559
sample_000062,FRB20121102_0063,FRB,FRB20121102,565.7,25.3,0.0354,25.3,0.0354
sample_000063,FRB20121102_0064,FRB,FRB20121102,566.0,11.56,0.3559,11.56,0.3559
sample_000064,FRB20121102_0065,FRB,FRB20121102,566.0,11.26,0.3559,11.26,0.3559
sample_000065,FRB20121102_0066,FRB,FRB20121102,566.0,10.72,0.3559,10.72,0.3559
sample_000066,FRB20121102_0067,FRB,FRB20121102,563.2,3.66,0.3588,3.66,0.3588
sample_000067,FRB20121102_0068,FRB,FRB20121102,564.5,6.74,0.3578,6.74,0.3578
sample_000068,FRB20121102_0069,FRB,FRB20121102,565.8,13.09,0.3559,13.09,0.3559
sample_000069,FRB20121102_0070,FRB,FRB20121102,567.6,3.65,0.3539,3.65,0.3539
sample_000070,FRB20121102_0071,FRB,FRB20121102,566.0,63.23,0.3539,63.23,0.3539
sample_000071,FRB20121102_0072,FRB,FRB20121102,565.0,3.14,0.3578,3.14,0.3578
sample_000072,FRB20121102_0073,FRB,FRB20121102,567.2,4.38,0.3529,4.38,0.3529
sample_000073,FRB20121102_0074,FRB,FRB20121102,567.2,4.38,0.289,4.38,0.289
sample_000074,FRB20121102_0075,FRB,FRB20121102,563.8,96.13,0.3598,96.13,0.3598
sample_000075,FRB20121102_0076,FRB,FRB20121102,566.0,19.11,0.3559,19.11,0.3559
sample_000076,FRB20121102_0077,FRB,FRB20121102,561.0,6.78,0.3657,6.78,0.3657
sample_000077,FRB20121102_0078,FRB,FRB20121102,562.8,6.07,0.3608,6.07,0.3608
sample_000078,FRB20121102_0079,FRB,FRB20121102,566.0,12.14,0.3539,12.14,0.3539
sample_000079,FRB20121102_0080,FRB,FRB20121102,564.5,2.09,0.3372,2.09,0.3372
sample_000080,FRB20121102_0081,FRB,FRB20121102,569.0,12.37,0.3519,12.37,0.3519
sample_000081,FRB20121102_0082,FRB,FRB20121102,567.6,8.92,0.1081,8.92,0.1081
sample_000082,FRB20121102_0083,FRB,FRB20121102,566.0,8.58,0.3539,8.58,0.3539
sample_000083,FRB20121102_0084,FRB,FRB20121102,552.4,5.3,0.3912,5.3,0.3912
sample_000084,FRB20121102_0085,FRB,FRB20121102,566.0,6.7,0.3559,6.7,0.3559
sample_000085,FRB20121102_0086,FRB,FRB20121102,565.5,11.0,0.3559,11.0,0.3559
sample_000086,FRB20121102_0087,FRB,FRB20121102,565.5,240.05,0.3559,240.05,0.3559
sample_000087,FRB20121102_0088,FRB,FRB20121102,566.7,3.58,0.3568,3.58,0.3568
sample_000088,FRB20121102_0089,FRB,FRB20121102,565.6,11.04,0.3559,11.04,0.3559
sample_000089,FRB20121102_0090,FRB,FRB20121102,566.1,6.14,0.3559,6.14,0.3559
sample_000090,FRB20121102_0091,FRB,FRB20121102,562.6,23.26,0.3618,23.26,0.3618
sample_000091,FRB20121102_0092,FRB,FRB20121102,566.6,14.75,0.3559,14.75,0.3559
sample_000092,FRB20121102_0093,FRB,FRB20121102,569.0,1.94,0.6301,1.94,0.6301
sample_000093,FRB20121102_0094,FRB,FRB20121102,565.1,347.93,0.3578,347.93,0.3578
sample_000094,FRB20121102_0095,FRB,FRB20121102,563.7,8.29,0.3618,8.29,0.3618
sample_000095,FRB20121102_0096,FRB,FRB20121102,558.9,4.02,0.1573,4.02,0.1573
sample_000096,FRB20121102_0097,FRB,FRB20121102,566.0,6.75,0.3559,6.75,0.3559
sample_000097,FRB20121102_0098,FRB,FRB20121102,570.0,39.29,0.348,39.29,0.348
sample_000098,FRB20121102_0099,FRB,FRB20121102,566.0,6.27,0.3549,6.27,0.3549
sample_000099,FRB20121102_0100,FRB,FRB20121102,567.0,14.85,0.3529,14.85,0.3529
sample_000100,FRB20121102_0101,FRB,FRB20121102,564.3,5.36,0.3598,5.36,0.3598
sample_000101,FRB20121102_0102,FRB,FRB20121102,567.2,6.86,0.3549,6.86,0.3549
sample_000102,FRB20121102_0103,FRB,FRB20121102,566.0,7.66,0.5918,7.66,0.5918
sample_000103,FRB20121102_0104,FRB,FRB20121102,568.3,9.35,0.3795,9.35,0.3795
sample_000104,FRB20121102_0105,FRB,FRB20121102,569.0,5.61,0.3519,5.61,0.3519
sample_000105,FRB20121102_0106,FRB,FRB20121102,568.0,9.29,0.35,9.29,0.35
sample_000106,FRB20121102_0107,FRB,FRB20121102,564.6,4.2,0.2959,4.2,0.2959
sample_000107,FRB20121102_0108,FRB,FRB20121102,564.7,6.34,0.3578,6.34,0.3578
sample_000108,FRB20121102_0109,FRB,FRB20121102,563.1,137.22,0.4581,137.22,0.4581
sample_000109,FRB20121102_0110,FRB,FRB20121102,565.4,5.0,0.3657,5.0,0.3657
sample_000110,FRB20121102_0111,FRB,FRB20121102,565.1,7.12,0.1494,7.12,0.1494
sample_000111,FRB20121102_0112,FRB,FRB20121102,566.6,3.99,0.3529,3.99,0.3529
sample_000112,FRB20121102_0113,FRB,FRB20121102,563.5,7.57,0.3598,7.57,0.3598
sample_000113,FRB20121102_0114,FRB,FRB20121102,563.8,6.05,0.3578,6.05,0.3578
sample_000114,FRB20121102_0115,FRB,FRB20121102,568.4,10.47,0.3716,10.47,0.3716
sample_000115,FRB20121102_0116,FRB,FRB20121102,561.5,6.93,0.3657,6.93,0.3657
sample_000116,FRB20121102_0117,FRB,FRB20121102,569.4,3.28,0.6419,3.28,0.6419
sample_000117,FRB20121102_0118,FRB,FRB20121102,569.5,2.44,0.8258,2.44,0.8258
sample_000118,FRB20121102_0119,FRB,FRB20121102,564.9,3.25,0.3539,3.25,0.3539
sample_000119,FRB20121102_0120,FRB,FRB20121102,568.1,3.95,0.35,3.95,0.35
sample_000120,FRB20121102_0121,FRB,FRB20121102,567.0,11.67,0.3539,11.67,0.3539
sample_000121,FRB20121102_0122,FRB,FRB20121102,569.5,11.36,0.348,11.36,0.348
sample_000122,FRB20121102_0123,FRB,FRB20121102,568.1,7.49,0.3539,7.49,0.3539
sample_000123,FRB20121102_0124,FRB,FRB20121102,568.9,13.03,0.346,13.03,0.346
sample_000124,FRB20121102_0125,FRB,FRB20121102,566.9,14.05,0.3539,14.05,0.3539
sample_000125,FRB20121102_0126,FRB,FRB20121102,566.2,17.71,0.3559,17.71,0.3559
sample_000126,FRB20121102_0127,FRB,FRB20121102,567.0,13.56,0.3539,13.56,0.3539
sample_000127,FRB20121102_0128,FRB,FRB20121102,563.6,40.49,0.3588,40.49,0.3588
sample_000128,FRB20121102_0129,FRB,FRB20121102,566.9,12.03,0.3519,12.03,0.3519
sample_000129,FRB20121102_0130,FRB,FRB20121102,562.8,6.55,0.3598,6.55,0.3598
sample_000130,FRB20121102_0131,FRB,FRB20121102,566.0,5.37,0.3539,5.37,0.3539
sample_000131,FRB20121102_0132,FRB,FRB20121102,566.0,7.99,0.3559,7.99,0.3559
sample_000132,FRB20121102_0133,FRB,FRB20121102,566.0,7.22,0.3627,7.22,0.3627
sample_000133,FRB20121102_0134,FRB,FRB20121102,563.7,5.71,0.3637,5.71,0.3637
sample_000134,FRB20121102_0135,FRB,FRB20121102,569.4,6.23,0.35,6.23,0.35
sample_000135,FRB20121102_0136,FRB,FRB20121102,565.9,4.66,0.3539,4.66,0.3539
sample_000136,FRB20121102_0137,FRB,FRB20121102,566.7,9.61,0.0688,9.61,0.0688
sample_000137,FRB20121102_0138,FRB,FRB20121102,564.1,2.8,0.3637,2.8,0.3637
sample_000138,FRB20121102_0139,FRB,FRB20121102,566.0,5.46,0.3578,5.46,0.3578
sample_000139,FRB20121102_0140,FRB,FRB20121102,567.2,8.48,0.3618,8.48,0.3618
sample_000140,FRB20121102_0141,FRB,FRB20121102,568.4,23.11,0.3578,23.11,0.3578
sample_000141,FRB20121102_0142,FRB,FRB20121102,565.4,8.07,0.3657,8.07,0.3657
sample_000142,FRB20121102_0143,FRB,FRB20121102,565.4,12.43,0.0944,12.43,0.0944
sample_000143,FRB20121102_0144,FRB,FRB20121102,566.0,9.6,0.3598,9.6,0.3598
sample_000144,FRB20121102_0145,FRB,FRB20121102,567.6,5.34,0.3539,5.34,0.3539
sample_000145,FRB20121102_0146,FRB,FRB20121102,566.0,11.9,0.3618,11.9,0.3618
sample_000146,FRB20121102_0147,FRB,FRB20121102,566.0,3.92,0.3598,3.92,0.3598
sample_000147,FRB20121102_0148,FRB,FRB20121102,566.0,9.66,0.3539,9.66,0.3539
sample_000148,FRB20121102_0149,FRB,FRB20121102,566.0,6.3,0.3657,6.3,0.3657
sample_000149,FRB20121102_0150,FRB,FRB20121102,566.0,8.94,0.3627,8.94,0.3627
sample_000150,FRB20121102_0151,FRB,FRB20121102,565.0,3.12,0.3627,3.12,0.3627
sample_000151,FRB20121102_0152,FRB,FRB20121102,567.2,9.83,0.3618,9.83,0.3618
sample_000152,FRB20121102_0153,FRB,FRB20121102,567.3,19.66,0.3618,19.66,0.3618
sample_000153,FRB20121102_0154,FRB,FRB20121102,566.0,7.27,0.3618,7.27,0.3618
sample_000154,FRB20121102_0155,FRB,FRB20121102,567.2,6.77,0.3627,6.77,0.3627
sample_000155,FRB20121102_0156,FRB,FRB20121102,559.7,6.73,0.3795,6.73,0.3795
sample_000156,FRB20121102_0157,FRB,FRB20121102,565.4,4.13,0.3657,4.13,0.3657
sample_000157,FRB20121102_0158,FRB,FRB20121102,564.5,122.53,0.3618,122.53,0.3618
sample_000158,FRB20121102_0159,FRB,FRB20121102,565.9,6.01,0.3598,6.01,0.3598
sample_000159,FRB20121102_0160,FRB,FRB20121102,566.1,6.93,0.3568,6.93,0.3568
sample_000160,FRB20121102_0161,FRB,FRB20121102,567.9,12.57,0.0531,12.57,0.0531
sample_000161,FRB20121102_0162,FRB,FRB20121102,565.5,6.95,0.3539,6.95,0.3539
sample_000162,FRB20121102_0163,FRB,FRB20121102,562.6,8.73,0.3578,8.73,0.3578
sample_000163,FRB20121102_0164,FRB,FRB20121102,564.2,11.88,0.3578,11.88,0.3578
sample_000164,FRB20121102_0165,FRB,FRB20121102,566.0,7.8,0.3519,7.8,0.3519
sample_000165,FRB20121102_0166,FRB,FRB20121102,565.6,5.59,0.0629,5.59,0.0629
sample_000166,FRB20121102_0167,FRB,FRB20121102,564.4,16.56,0.3539,16.56,0.3539
sample_000167,FRB20121102_0168,FRB,FRB20121102,568.4,10.57,0.4699,10.57,0.4699
sample_000168,FRB20121102_0169,FRB,FRB20121102,566.7,10.6,0.3519,10.6,0.3519
sample_000169,FRB20121102_0170,FRB,FRB20121102,563.9,103.14,0.3578,103.14,0.3578
sample_000170,FRB20121102_0171,FRB,FRB20121102,566.1,17.67,0.3519,17.67,0.3519
sample_000171,FRB20121102_0172,FRB,FRB20121102,562.8,7.12,0.3598,7.12,0.3598
sample_000172,FRB20121102_0173,FRB,FRB20121102,562.6,12.39,0.3578,12.39,0.3578
sample_000173,FRB20121102_0174,FRB,FRB20121102,567.6,13.73,0.348,13.73,0.348
sample_000174,FRB20121102_0175,FRB,FRB20121102,567.4,17.17,0.3539,17.17,0.3539
sample_000175,FRB20121102_0176,FRB,FRB20121102,566.5,7.12,0.3598,7.12,0.3598
sample_000176,FRB20121102_0177,FRB,FRB20121102,568.3,7.9,0.3529,7.9,0.3529
sample_000177,FRB20121102_0178,FRB,FRB20121102,563.0,9.16,0.6016,9.16,0.6016
sample_000178,FRB20121102_0179,FRB,FRB20121102,565.0,7.85,0.3519,7.85,0.3519
sample_000179,FRB20121102_0180,FRB,FRB20121102,569.5,13.56,0.348,13.56,0.348
sample_000180,FRB20121102_0181,FRB,FRB20121102,566.5,13.29,0.3618,13.29,0.3618
sample_000181,FRB20121102_0182,FRB,FRB20121102,564.3,51.08,0.4207,51.08,0.4207
sample_000182,FRB20121102_0183,FRB,FRB20121102,567.2,8.99,0.3539,8.99,0.3539
sample_000183,FRB20121102_0184,FRB,FRB20121102,566.7,14.65,0.3637,14.65,0.3637
sample_000184,FRB20121102_0185,FRB,FRB20121102,566.7,14.86,0.3559,14.86,0.3559
sample_000185,FRB20121102_0186,FRB,FRB20121102,567.7,5.6,0.3549,5.6,0.3549
sample_000186,FRB20121102_0187,FRB,FRB20121102,569.8,6.2,0.3598,6.2,0.3598
sample_000187,FRB20121102_0188,FRB,FRB20121102,563.6,22.48,0.3637,22.48,0.3637
sample_000188,FRB20121102_0189,FRB,FRB20121102,563.5,12.14,0.3637,12.14,0.3637
sample_000189,FRB20121102_0190,FRB,FRB20121102,566.0,11.52,0.3559,11.52,0.3559
sample_000190,FRB20121102_0191,FRB,FRB20121102,559.7,3.09,0.3716,3.09,0.3716
sample_000191,FRB20121102_0192,FRB,FRB20121102,565.8,5.93,0.2615,5.93,0.2615
sample_000192,FRB20121102_0193,FRB,FRB20121102,565.8,10.08,0.3578,10.08,0.3578
sample_000193,FRB20121102_0194,FRB,FRB20121102,567.1,3.93,0.3549,3.93,0.3549
sample_000194,FRB20121102_0195,FRB,FRB20121102,565.1,11.09,0.3677,11.09,0.3677
sample_000195,FRB20121102_0196,FRB,FRB20121102,568.5,6.49,0.3519,6.49,0.3519
sample_000196,FRB20121102_0197,FRB,FRB20121102,564.8,12.13,0.3952,12.13,0.3952
sample_000197,FRB20121102_0198,FRB,FRB20121102,564.9,8.23,0.3637,8.23,0.3637
sample_000198,FRB20121102_0199,FRB,FRB20121102,563.8,5.41,0.3618,5.41,0.3618
sample_000199,FRB20121102_0200,FRB,FRB20121102,566.1,10.85,0.3637,10.85,0.3637
sample_000200,FRB20121102_0201,FRB,FRB20121102,565.5,8.61,0.3578,8.61,0.3578
sample_000201,FRB20121102_0202,FRB,FRB20121102,566.4,17.55,0.1828,17.55,0.1828
sample_000202,FRB20121102_0203,FRB,FRB20121102,567.9,14.61,0.3539,14.61,0.3539
sample_000203,FRB20121102_0204,FRB,FRB20121102,565.2,13.47,0.3578,13.47,0.3578
sample_000204,FRB20121102_0205,FRB,FRB20121102,565.5,14.19,0.3598,14.19,0.3598
sample_000205,FRB20121102_0206,FRB,FRB20121102,566.4,9.86,0.3598,9.86,0.3598
sample_000206,FRB20121102_0207,FRB,FRB20121102,566.8,13.21,0.3559,13.21,0.3559
sample_000207,FRB20121102_0208,FRB,FRB20121102,569.3,5.48,0.3559,5.48,0.3559
sample_000208,FRB20121102_0209,FRB,FRB20121102,568.3,4.82,0.113,4.82,0.113
sample_000209,FRB20121102_0210,FRB,FRB20121102,566.7,4.36,0.3598,4.36,0.3598
sample_000210,FRB20121102_0211,FRB,FRB20121102,565.7,7.07,0.1337,7.07,0.1337
sample_000211,FRB20121102_0212,FRB,FRB20121102,566.1,76.05,0.3559,76.05,0.3559
sample_000212,FRB20121102_0213,FRB,FRB20121102,565.6,3.64,0.35,3.64,0.35
sample_000213,FRB20121102_0214,FRB,FRB20121102,564.5,9.39,0.3578,9.39,0.3578
sample_000214,FRB20121102_0215,FRB,FRB20121102,562.8,9.61,0.3657,9.61,0.3657
sample_000215,FRB20121102_0216,FRB,FRB20121102,566.5,11.31,0.3578,11.31,0.3578
sample_000216,FRB20121102_0217,FRB,FRB20121102,566.6,10.33,0.3618,10.33,0.3618
sample_000217,FRB20121102_0218,FRB,FRB20121102,564.1,18.77,0.3657,18.77,0.3657
sample_000218,FRB20121102_0219,FRB,FRB20121102,566.0,14.55,0.3598,14.55,0.3598
sample_000219,FRB20121102_0220,FRB,FRB20121102,566.0,6.43,0.3657,6.43,0.3657
sample_000220,FRB20121102_0221,FRB,FRB20121102,566.0,14.76,0.3716,14.76,0.3716
sample_000221,FRB20121102_0222,FRB,FRB20121102,566.3,2.91,0.3686,2.91,0.3686
sample_000222,FRB20121102_0223,FRB,FRB20121102,567.7,4.77,0.3578,4.77,0.3578
sample_000223,FRB20121102_0224,FRB,FRB20121102,566.4,6.72,0.3627,6.72,0.3627
sample_000224,FRB20121102_0225,FRB,FRB20121102,566.7,6.0,0.3618,6.0,0.3618
sample_000225,FRB20121102_0226,FRB,FRB20121102,566.0,9.21,0.3637,9.21,0.3637
sample_000226,FRB20121102_0227,FRB,FRB20121102,569.0,6.79,0.3834,6.79,0.3834
sample_000227,FRB20121102_0228,FRB,FRB20121102,566.2,10.17,0.3598,10.17,0.3598
sample_000228,FRB20121102_0229,FRB,FRB20121102,568.2,5.51,0.0757,5.51,0.0757
sample_000229,FRB20121102_0230,FRB,FRB20121102,563.4,15.12,0.3834,15.12,0.3834
sample_000230,FRB20121102_0231,FRB,FRB20121102,567.2,5.97,0.3677,5.97,0.3677
sample_000231,FRB20121102_0232,FRB,FRB20121102,566.9,6.02,0.4443,6.02,0.4443
sample_000232,FRB20121102_0233,FRB,FRB20121102,566.2,8.29,0.3716,8.29,0.3716
sample_000233,FRB20121102_0234,FRB,FRB20121102,564.9,7.97,0.3667,7.97,0.3667
sample_000234,FRB20121102_0235,FRB,FRB20121102,565.3,14.01,0.3716,14.01,0.3716
sample_000235,FRB20121102_0236,FRB,FRB20121102,567.5,16.68,0.3755,16.68,0.3755
sample_000236,FRB20121102_0237,FRB,FRB20121102,566.0,4.65,0.3716,4.65,0.3716
sample_000237,FRB20121102_0238,FRB,FRB20121102,565.3,3.79,0.3686,3.79,0.3686
sample_000238,FRB20121102_0239,FRB,FRB20121102,565.0,9.67,0.3775,9.67,0.3775
sample_000239,FRB20121102_0240,FRB,FRB20121102,568.7,8.38,0.348,8.38,0.348
sample_000240,FRB20121102_0241,FRB,FRB20121102,567.0,12.15,0.3519,12.15,0.3519
sample_000241,FRB20121102_0242,FRB,FRB20121102,567.0,14.83,0.3529,14.83,0.3529
sample_000242,FRB20121102_0243,FRB,FRB20121102,568.0,8.9,0.3598,8.9,0.3598
sample_000243,FRB20121102_0244,FRB,FRB20121102,565.5,10.32,0.3578,10.32,0.3578
sample_000244,FRB20121102_0245,FRB,FRB20121102,568.2,7.47,0.3598,7.47,0.3598
sample_000245,FRB20121102_0246,FRB,FRB20121102,567.2,13.19,0.3637,13.19,0.3637
sample_000246,FRB20121102_0247,FRB,FRB20121102,565.4,11.3,0.3598,11.3,0.3598
sample_000247,FRB20121102_0248,FRB,FRB20121102,565.9,7.53,0.3637,7.53,0.3637
sample_000248,FRB20121102_0249,FRB,FRB20121102,562.9,10.31,0.3716,10.31,0.3716
sample_000249,FRB20121102_0250,FRB,FRB20121102,567.8,5.55,0.3578,5.55,0.3578
sample_000250,FRB20121102_0251,FRB,FRB20121102,566.5,7.56,0.3598,7.56,0.3598
sample_000251,FRB20121102_0252,FRB,FRB20121102,566.7,26.8,0.3657,26.8,0.3657
sample_000252,FRB20121102_0253,FRB,FRB20121102,563.6,8.94,0.3755,8.94,0.3755
sample_000253,FRB20121102_0254,FRB,FRB20121102,566.3,5.81,0.3637,5.81,0.3637
sample_000254,FRB20121102_0255,FRB,FRB20121102,567.2,5.05,0.5112,5.05,0.5112
sample_000255,FRB20121102_0256,FRB,FRB20121102,564.7,21.94,0.3736,21.94,0.3736
sample_000256,FRB20121102_0257,FRB,FRB20121102,565.3,8.82,0.3726,8.82,0.3726
sample_000257,FRB20121102_0258,FRB,FRB20121102,566.0,8.82,0.3539,8.82,0.3539
sample_000258,FRB20121102_0259,FRB,FRB20121102,564.9,3.56,0.3608,3.56,0.3608
sample_000259,FRB20121102_0260,FRB,FRB20121102,570.0,10.13,0.348,10.13,0.348
sample_000260,FRB20121102_0261,FRB,FRB20121102,565.0,420.06,0.3618,420.06,0.3618
sample_000261,FRB20121102_0262,FRB,FRB20121102,565.4,2.89,0.3667,2.89,0.3667
sample_000262,FRB20121102_0263,FRB,FRB20121102,565.4,8.91,0.3618,8.91,0.3618
sample_000263,FRB20121102_0264,FRB,FRB20121102,565.8,11.14,0.3618,11.14,0.3618
sample_000264,FRB20121102_0265,FRB,FRB20121102,565.6,10.29,0.3677,10.29,0.3677
sample_000265,FRB20121102_0266,FRB,FRB20121102,564.8,8.9,0.3618,8.9,0.3618
sample_000266,FRB20121102_0267,FRB,FRB20121102,566.7,5.42,0.3578,5.42,0.3578
sample_000267,FRB20121102_0268,FRB,FRB20121102,566.0,8.11,0.3549,8.11,0.3549
sample_000268,FRB20121102_0269,FRB,FRB20121102,565.3,4.91,0.3578,4.91,0.3578
sample_000269,FRB20121102_0270,FRB,FRB20121102,567.2,12.98,0.35,12.98,0.35
sample_000270,FRB20121102_0271,FRB,FRB20121102,564.9,6.15,0.3618,6.15,0.3618
sample_000271,FRB20121102_0272,FRB,FRB20121102,566.3,6.12,0.3539,6.12,0.3539
sample_000272,FRB20121102_0273,FRB,FRB20121102,569.4,6.6,0.3519,6.6,0.3519
sample_000273,FRB20121102_0274,FRB,FRB20121102,566.2,9.7,0.35,9.7,0.35
sample_000274,FRB20121102_0275,FRB,FRB20121102,566.0,9.25,0.3509,9.25,0.3509
sample_000275,FRB20121102_0276,FRB,FRB20121102,563.7,10.03,0.3618,10.03,0.3618
sample_000276,FRB20121102_0277,FRB,FRB20121102,566.0,27.84,0.3559,27.84,0.3559
sample_000277,FRB20121102_0278,FRB,FRB20121102,564.5,14.02,0.3618,14.02,0.3618
sample_000278,FRB20121102_0279,FRB,FRB20121102,566.0,21.78,0.3598,21.78,0.3598
sample_000279,FRB20121102_0280,FRB,FRB20121102,568.5,14.29,0.3519,14.29,0.3519
sample_000280,FRB20121102_0281,FRB,FRB20121102,565.4,5.3,0.3578,5.3,0.3578
sample_000281,FRB20121102_0282,FRB,FRB20121102,566.0,10.2,0.3598,10.2,0.3598
sample_000282,FRB20121102_0283,FRB,FRB20121102,565.4,11.78,0.3578,11.78,0.3578
sample_000283,FRB20121102_0284,FRB,FRB20121102,567.6,6.0,0.349,6.0,0.349
