burst_id,source,file,mjd,dms,toa
288,FRB20121102,FRB20121102_0288.fits,58749.86518,567.8,4.227071721
289,FRB20121102,FRB20121102_0289.fits,58749.86637,566.7,4.60215644
290,FRB20121102,FRB20121102_0290.fits,58749.86661,565.4,2.73659688
291,FRB20121102,FRB20121102_0291.fits,58749.87332,565,3.019000171
292,FRB20121102,FRB20121102_0292.fits,58749.87376,563.6,3.333904292
293,FRB20121102,FRB20121102_0293.fits,58749.87604,566,1.559225726
294,FRB20121102,FRB20121102_0294.fits,58749.8777,567.9,3.271310963
295,FRB20121102,FRB20121102_0295.fits,58749.87836,567.1,2.955907071
296,FRB20121102,FRB20121102_0296.fits,58749.88139,566.9,2.324373834
297,FRB20121102,FRB20121102_0297.fits,58749.89111,565.9,2.092141262
298,FRB20121102,FRB20121102_0298.fits,58750.85544,566,4.312405572
299,FRB20121102,FRB20121102_0299.fits,58750.85566,568.5,0.238865381
300,FRB20121102,FRB20121102_0300.fits,58750.85588,568.5,2.462508646
301,FRB20121102,FRB20121102_0301.fits,58750.85796,563.7,1.477103611
302,FRB20121102,FRB20121102_0302.fits,58750.85955,564.3,1.086273906
303,FRB20121102,FRB20121102_0303.fits,58750.86055,562.3,3.643895569
304,FRB20121102,FRB20121102_0304.fits,58750.86379,564.6,0.120724551
305,FRB20121102,FRB20121102_0305.fits,58750.86507,566.2,1.02077499
306,FRB20121102,FRB20121102_0306.fits,58750.87115,566.3,4.165463476
307,FRB20121102,FRB20121102_0307.fits,58750.87436,563.3,3.670658148
308,FRB20121102,FRB20121102_0308.fits,58750.88436,566.3,0.804223912
309,FRB20121102,FRB20121102_0309.fits,58750.88475,569.8,0.61164361
310,FRB20121102,FRB20121102_0310.fits,58750.88961,568.8,4.465119238
311,FRB20121102,FRB20121102_0311.fits,58750.89448,566,0.105182617
312,FRB20121102,FRB20121102_0312.fits,58750.89469,568.9,2.888561203
313,FRB20121102,FRB20121102_0313.fits,58750.89492,566,0.942143728
314,FRB20121102,FRB20121102_0314.fits,58751.88443,565.3,4.376715096
315,FRB20121102,FRB20121102_0315.fits,58751.88822,566.2,1.333133108
316,FRB20121102,FRB20121102_0316.fits,58751.89443,566,2.753954963
317,FRB20121102,FRB20121102_0317.fits,58751.89624,565.3,4.419132764
318,FRB20121102,FRB20121102_0318.fits,58751.90242,566,1.337659964
319,FRB20121102,FRB20121102_0319.fits,58751.90269,567.2,0.65247647
320,FRB20121102,FRB20121102_0320.fits,58751.90572,566,0.40225843
321,FRB20121102,FRB20121102_0321.fits,58751.90831,561.5,3.267539106
322,FRB20121102,FRB20121102_0322.fits,58751.90917,564.4,4.430653271
323,FRB20121102,FRB20121102_0323.fits,58751.90947,564.4,3.860556032
324,FRB20121102,FRB20121102_0324.fits,58751.91214,564.5,1.066369819
325,FRB20121102,FRB20121102_0325.fits,58751.91783,566.1,2.2206767
326,FRB20121102,FRB20121102_0326.fits,58751.91918,565.1,4.106862028
327,FRB20121102,FRB20121102_0327.fits,58752.85111,564.2,0.487568392
328,FRB20121102,FRB20121102_0328.fits,58752.85188,567.4,1.748446561
329,FRB20121102,FRB20121102_0329.fits,58752.8535,555.4,0.661496865
330,FRB20121102,FRB20121102_0330.fits,58752.85429,561.5,2.017388726
331,FRB20121102,FRB20121102_0331.fits,58752.85777,565.1,2.170680114
332,FRB20121102,FRB20121102_0332.fits,58752.85862,563.7,4.59540356
333,FRB20121102,FRB20121102_0333.fits,58752.86037,566.6,2.171551413
334,FRB20121102,FRB20121102_0334.fits,58752.8688,567.3,2.557817171
335,FRB20121102,FRB20121102_0335.fits,58752.86892,566.5,1.090887515
336,FRB20121102,FRB20121102_0336.fits,58752.87166,567.4,4.461703822
337,FRB20121102,FRB20121102_0337.fits,58752.87192,565.9,1.562878769
338,FRB20121102,FRB20121102_0338.fits,58752.87206,565.7,2.18060324
339,FRB20121102,FRB20121102_0339.fits,58752.87713,566.4,2.12517078
340,FRB20121102,FRB20121102_0340.fits,58752.87944,568,0.296909851
341,FRB20121102,FRB20121102_0341.fits,58752.88242,565.2,0.562773552
342,FRB20121102,FRB20121102_0342.fits,58752.88493,564.3,4.459233256
343,FRB20121102,FRB20121102_0343.fits,58752.88515,564.4,1.877630758
344,FRB20121102,FRB20121102_0344.fits,58752.88526,564.3,0.745633151
345,FRB20121102,FRB20121102_0345.fits,58752.88674,563.4,0.00972196
346,FRB20121102,FRB20121102_0346.fits,58753.92587,567.4,1.266987948
347,FRB20121102,FRB20121102_0347.fits,58753.92877,567.1,1.061401656
348,FRB20121102,FRB20121102_0348.fits,58753.92886,567.9,3.6089028
349,FRB20121102,FRB20121102_0349.fits,58753.93194,564.7,0.617237273
350,FRB20121102,FRB20121102_0350.fits,58753.93261,569.3,3.686403763
351,FRB20121102,FRB20121102_0351.fits,58753.93616,567.7,1.658759359
352,FRB20121102,FRB20121102_0352.fits,58753.93746,567.8,1.177190104
353,FRB20121102,FRB20121102_0353.fits,58753.93897,567.1,0.966899679
354,FRB20121102,FRB20121102_0354.fits,58753.9393,562.9,2.315823664
355,FRB20121102,FRB20121102_0355.fits,58753.94361,568,3.92356175
356,FRB20121102,FRB20121102_0356.fits,58753.94447,568.1,0.934151793
357,FRB20121102,FRB20121102_0357.fits,58753.94746,567.6,0.581469387
358,FRB20121102,FRB20121102_0358.fits,58753.95056,565.1,1.30909821
359,FRB20121102,FRB20121102_0359.fits,58754.98236,566,0.489250012
360,FRB20121102,FRB20121102_0360.fits,58754.98516,569.2,1.233659824
361,FRB20121102,FRB20121102_0361.fits,58754.98864,566.7,3.529641638
362,FRB20121102,FRB20121102_0362.fits,58754.98878,568.1,4.286015779
363,FRB20121102,FRB20121102_0363.fits,58754.99256,566.5,2.378366701
364,FRB20121102,FRB20121102_0364.fits,58754.99322,564.9,1.668962231
365,FRB20121102,FRB20121102_0365.fits,58754.99532,566.7,1.643702108
366,FRB20121102,FRB20121102_0366.fits,58754.9956,566.4,0.610532798
367,FRB20121102,FRB20121102_0367.fits,58755.00281,561.9,1.662022015
368,FRB20121102,FRB20121102_0368.fits,58755.00466,565.7,4.113971977
369,FRB20121102,FRB20121102_0369.fits,58755.00494,565.2,2.411506861
370,FRB20121102,FRB20121102_0370.fits,58755.01201,568.1,1.121323253
371,FRB20121102,FRB20121102_0371.fits,58755.01217,568.5,0.401165849
372,FRB20121102,FRB20121102_0372.fits,58755.01277,566.3,1.063552871
