sample_id,source_sample_id,true_label,dm,flux_density,width,arrival_time,sweep_contained,peak_sigma,peak_time_s
sample_000025,frb_00025,FRB,513.785415,11.71611,0.003199,0.627696,1,556.5,0.34406
sample_000026,frb_00026,FRB,204.658448,6.992782,0.0045,1.549726,1,175.59,1.34283
sample_000027,frb_00027,FRB,322.689334,4.735012,0.004855,1.339004,1,200.2,1.04989
sample_000028,frb_00028,FRB,855.567691,7.997301,0.0045,0.924317,0,2.84,0.03244
sample_000029,frb_00029,FRB,679.133798,8.252481,0.003029,0.626171,1,62.83,0.30671
sample_000030,frb_00030,FRB,135.925445,8.493454,0.004746,0.607116,1,222.94,0.47383
sample_000031,frb_00031,FRB,300.996933,5.517335,0.003654,0.654473,1,221.95,0.46989
sample_000032,frb_00032,FRB,561.170078,5.214615,0.003653,1.28362,0,3.31,0.19268
sample_000033,frb_00033,FRB,229.842886,5.012634,0.004101,1.077178,1,100.29,0.78053
sample_000034,frb_00034,FRB,497.889481,5.292457,0.004534,0.749619,1,164.36,0.3421
sample_000035,frb_00035,FRB,755.368612,5.441148,0.004234,0.431886,1,129.86,0.18285
sample_000036,frb_00036,FRB,579.066405,6.108497,0.004392,1.054732,1,116.9,0.34603
sample_000037,frb_00037,FRB,873.533191,7.668908,0.004589,0.725098,0,0.0,0.0
sample_000038,frb_00038,FRB,301.16988,9.082554,0.00366,1.461536,1,214.69,1.30154
sample_000039,frb_00039,FRB,327.252292,10.96587,0.004139,0.81957,1,632.35,0.58196
sample_000040,frb_00040,FRB,279.130765,11.369479,0.003184,1.486873,1,247.57,1.04006
sample_000041,frb_00041,FRB,727.599862,9.132415,0.003872,1.593593,0,3.02,0.23986
sample_000042,frb_00042,FRB,865.587744,7.410631,0.003787,1.355564,0,0.0,0.0
sample_000043,frb_00043,FRB,570.974873,4.149388,0.004322,1.517509,0,3.91,0.35193
sample_000044,frb_00044,FRB,544.727629,9.746803,0.003802,0.867713,1,472.83,0.5741
sample_000045,frb_00045,FRB,381.446271,9.548643,0.004192,0.87462,1,310.99,0.63504
sample_000046,frb_00046,FRB,708.405708,7.5138,0.004383,1.069507,1,205.42,0.23396
sample_000047,frb_00047,FRB,238.12059,7.876799,0.003711,1.399968,1,650.41,1.15212
sample_000048,frb_00048,FRB,155.859815,5.850445,0.003074,1.504651,1,165.83,1.34676
sample_000049,frb_00049,FRB,866.408585,11.861886,0.004855,0.381912,0,0.0,0.0
sample_000050,frb_00050,FRB,681.86147,10.947347,0.003576,1.638805,0,3.18,0.12288
sample_000051,frb_00051,FRB,415.462683,11.211465,0.003429,1.300385,1,196.04,0.95748
sample_000052,frb_00052,FRB,641.699907,9.601258,0.003325,1.61828,0,3.25,0.26739
sample_000053,frb_00053,FRB,125.485198,10.188252,0.003249,0.896434,1,365.99,0.83952
sample_000054,frb_00054,FRB,754.452945,5.832211,0.004114,0.824163,0,2.85,0.13959
sample_000055,frb_00055,FRB,661.022416,4.889903,0.003763,0.533653,1,115.11,0.13566
sample_000056,frb_00056,FRB,896.531742,7.636131,0.003574,0.586744,0,0.0,0.0
sample_000057,frb_00057,FRB,353.771773,11.98483,0.003933,1.604335,0,4.15,0.37159
sample_000058,frb_00058,FRB,586.428851,8.598901,0.00317,0.982625,1,271.57,0.50332
sample_000059,frb_00059,FRB,268.427953,5.786689,0.004114,1.341018,1,308.49,1.13836
sample_000060,frb_00060,FRB,529.801476,9.566089,0.004485,0.627606,1,462.85,0.07864
sample_000061,frb_00061,FRB,738.172439,11.389581,0.003031,1.233075,0,3.75,0.25166
sample_000062,frb_00062,FRB,326.212798,6.861678,0.004283,1.292241,1,368.47,0.92013
sample_000063,frb_00063,FRB,718.715587,9.303625,0.004303,0.414984,0,2.91,0.06783
sample_000064,frb_00064,FRB,410.623556,8.943698,0.004848,0.50577,1,302.02,0.17302
sample_000065,frb_00065,FRB,470.47354,5.239144,0.004638,1.616529,0,2.34,0.8985
sample_000066,frb_00066,FRB,157.189448,4.09403,0.004353,1.639518,1,106.15,1.48439
sample_000067,frb_00067,FRB,585.701348,6.868873,0.004242,0.481976,1,236.29,0.15335
sample_000068,frb_00068,FRB,282.697218,7.92772,0.004573,0.711151,1,266.23,0.50135
sample_000069,frb_00069,FRB,759.951931,9.972699,0.004341,0.77796,0,3.76,0.23691
sample_000070,frb_00070,FRB,834.581526,4.879913,0.004386,1.067083,0,2.65,0.02949
sample_000071,frb_00071,FRB,204.444515,9.421041,0.003563,1.46151,1,467.25,1.27795
sample_000072,frb_00072,FRB,844.136533,10.889116,0.00489,1.282269,0,2.1,0.04129
sample_000073,frb_00073,FRB,676.533543,6.199424,0.003864,1.592562,0,3.21,0.07766
sample_000074,frb_00074,FRB,570.801908,5.040525,0.004602,1.47007,1,268.69,0.6783
sample_000075,frb_00075,FRB,690.326534,11.498001,0.003166,1.551493,0,3.16,0.28803
sample_000076,frb_00076,FRB,546.729068,4.932107,0.003525,1.478531,1,224.22,0.62325
sample_000077,frb_00077,FRB,762.198991,4.294585,0.004068,0.377995,0,2.45,0.19268
sample_000078,frb_00078,FRB,468.913662,9.803302,0.004552,0.46031,0,4.1,0.70386
sample_000079,frb_00079,FRB,543.971691,10.848739,0.004836,1.375751,1,268.26,0.51315
sample_000080,frb_00080,FRB,264.022627,8.851066,0.004998,0.9364,1,200.28,0.54657
sample_000081,frb_00081,FRB,253.719348,8.525921,0.004314,0.86149,1,172.37,0.74514
sample_000082,frb_00082,FRB,841.99169,11.660027,0.003962,0.47981,0,1.9,0.06193
sample_000083,frb_00083,FRB,480.122057,4.217127,0.004208,0.417253,0,3.83,0.23396
sample_000084,frb_00084,FRB,284.844563,7.832524,0.003313,1.046633,1,653.96,0.83558
sample_000085,frb_00085,FRB,307.14343,5.899093,0.004552,0.453964,1,118.43,0.33227
sample_000086,frb_00086,FRB,179.649143,9.826495,0.003008,1.136327,1,415.71,1.06562
sample_000087,frb_00087,FRB,876.868597,6.647309,0.004656,1.235385,0,0.0,0.0
sample_000088,frb_00088,FRB,363.599451,10.82411,0.004334,0.567995,1,566.48,0.4404
sample_000089,frb_00089,FRB,764.68014,9.583116,0.003344,0.80884,0,4.14,0.14156
sample_000090,frb_00090,FRB,772.163541,9.744287,0.003436,1.047726,0,3.68,0.02458
sample_000091,frb_00091,FRB,607.679678,7.404289,0.004689,0.512066,1,147.71,0.14352
sample_000092,frb_00092,FRB,549.895564,4.969543,0.004522,1.335152,0,4.07,0.19661
sample_000093,frb_00093,FRB,228.492778,11.459719,0.004465,0.75794,1,472.68,0.50725
sample_000094,frb_00094,FRB,182.084471,4.431509,0.003997,1.009316,1,220.66,0.92209
sample_000095,frb_00095,FRB,799.882979,11.601245,0.004402,1.314369,0,2.36,0.02359
sample_000096,frb_00096,FRB,861.252994,4.891922,0.004823,0.353811,0,2.31,0.01376
sample_000097,frb_00097,FRB,309.972742,9.509134,0.00328,0.704861,1,440.55,0.57606
sample_000098,frb_00098,FRB,408.793621,5.449209,0.003401,1.328711,1,240.99,1.05382
sample_000099,frb_00099,FRB,290.280447,4.96994,0.003743,0.832764,1,208.36,0.72352
sample_000100,frb_00100,FRB,532.174068,4.981168,0.004463,1.279891,0,3.92,0.61932
sample_000101,frb_00101,FRB,173.970309,8.590861,0.00477,0.895464,1,376.62,0.64881
sample_000102,frb_00102,FRB,367.854523,7.065932,0.00428,0.599258,1,109.91,0.4404
sample_000103,frb_00103,FRB,396.422042,5.877373,0.004606,0.908656,1,275.65,0.30474
sample_000104,frb_00104,FRB,280.841058,5.835405,0.003854,1.134925,1,261.96,0.7884
sample_000105,frb_00105,FRB,813.00699,8.358787,0.003432,1.024355,0,2.55,0.08258
sample_000106,frb_00106,FRB,444.771345,9.462458,0.004531,0.517266,1,139.79,0.27329
sample_000107,frb_00107,FRB,396.783448,4.132739,0.003027,0.688438,1,72.57,0.48366
sample_000108,frb_00108,FRB,131.118662,8.740308,0.003487,0.549898,1,239.94,0.38535
sample_000109,frb_00109,FRB,475.32835,10.276322,0.004961,0.722358,1,392.94,0.10813
sample_000110,frb_00110,FRB,888.024423,7.562941,0.004076,1.271678,0,0.0,0.0
sample_000111,frb_00111,FRB,419.798723,9.360015,0.004906,1.411111,0,3.74,0.98501
sample_000112,frb_00112,FRB,129.957803,10.001803,0.003559,0.726958,1,832.78,0.64094
sample_000113,frb_00113,FRB,694.165362,8.929298,0.004764,0.82383,0,3.23,0.28508
sample_000114,frb_00114,FRB,858.823509,10.685442,0.003106,1.319499,0,1.47,0.01671
sample_000115,frb_00115,FRB,472.180414,9.920565,0.004386,0.890373,1,281.74,0.66454
sample_000116,frb_00116,FRB,665.253022,8.755771,0.003356,1.605442,0,3.02,0.45122
sample_000117,frb_00117,FRB,214.966232,4.096741,0.004804,1.379781,1,313.18,1.04595
sample_000118,frb_00118,FRB,798.123294,8.576813,0.00421,1.231171,0,2.31,0.13959
sample_000119,frb_00119,FRB,159.965979,10.560166,0.00454,0.654763,1,318.3,0.47972
sample_000120,frb_00120,FRB,830.222559,11.83847,0.003923,1.638328,0,2.82,0.07373
sample_000121,frb_00121,FRB,562.721249,6.009508,0.003426,0.501091,1,108.44,0.08258
sample_000122,frb_00122,FRB,620.627032,9.968813,0.00428,1.502611,0,3.68,0.45711
sample_000123,frb_00123,FRB,561.48733,5.055776,0.004532,1.451805,0,3.2,0.17105
sample_000124,frb_00124,FRB,817.81106,6.618656,0.004447,0.499849,1,8.99,0.03834
sample_000125,frb_00125,FRB,275.094493,11.08425,0.004549,1.547593,1,363.99,1.14622
sample_000126,frb_00126,FRB,666.103201,4.931134,0.004115,0.372164,0,3.23,0.38928
sample_000127,frb_00127,FRB,195.175906,8.1601,0.004226,1.456755,1,593.85,1.19341
sample_000128,frb_00128,FRB,715.362988,11.957008,0.004131,0.577834,1,214.03,0.24969
sample_000129,frb_00129,FRB,617.844286,5.713799,0.003031,0.876786,1,197.7,0.07078
sample_000130,frb_00130,FRB,287.178936,6.004507,0.004171,1.040929,1,407.09,0.90243
sample_000131,frb_00131,FRB,291.479365,8.333167,0.003223,1.384944,1,252.14,1.27599
sample_000132,frb_00132,FRB,164.851419,8.842278,0.003094,1.287558,1,786.91,1.1305
sample_000133,frb_00133,FRB,174.749381,11.065374,0.003798,1.474315,1,342.35,1.2229
sample_000134,frb_00134,FRB,626.016186,6.812486,0.004784,0.959198,1,320.11,0.08454
sample_000135,frb_00135,FRB,423.605925,7.743304,0.004269,0.722432,1,315.62,0.32244
sample_000136,frb_00136,FRB,618.394472,11.360109,0.004231,1.584365,0,4.16,0.14844
sample_000137,frb_00137,FRB,496.974674,10.507189,0.003545,1.122303,0,3.29,0.76382
sample_000138,frb_00138,FRB,517.278926,8.379858,0.004442,1.406162,0,3.58,0.17891
sample_000139,frb_00139,FRB,687.881393,9.136861,0.004956,1.482764,0,3.0,0.10617
sample_000140,frb_00140,FRB,293.160662,9.097287,0.004106,1.245882,1,340.09,1.02236
sample_000141,frb_00141,FRB,855.031731,5.589584,0.003076,1.013474,0,2.7,0.01573
sample_000142,frb_00142,FRB,816.605181,11.123371,0.003185,0.942748,0,3.96,0.02359
sample_000143,frb_00143,FRB,274.106547,6.10374,0.003686,1.514231,0,3.32,1.13738
sample_000144,frb_00144,FRB,687.16084,4.275654,0.003428,1.100056,1,74.48,0.39125
sample_000145,frb_00145,FRB,411.892332,6.670601,0.003827,1.139651,1,389.65,0.98501
sample_000146,frb_00146,FRB,449.47026,4.652377,0.004875,0.636609,1,135.0,0.31261
sample_000147,frb_00147,FRB,125.548633,7.112374,0.004736,0.723263,1,523.95,0.58786
sample_000148,frb_00148,FRB,865.337914,8.986839,0.003714,1.440691,0,0.0,0.0
sample_000149,frb_00149,FRB,166.761216,8.418225,0.003866,1.369426,1,416.59,1.12067
sample_000150,frb_00150,FRB,192.63503,11.751131,0.003614,0.779227,1,420.99,0.64881
sample_000151,frb_00151,FRB,801.680762,10.415804,0.003776,0.544949,0,2.62,0.04719
sample_000152,frb_00152,FRB,735.110386,11.603192,0.00321,0.708417,1,118.84,0.25756
sample_000153,frb_00153,FRB,360.203888,11.684071,0.003898,1.043782,1,574.72,0.81789
sample_000154,frb_00154,FRB,786.908911,11.011755,0.003055,1.061612,0,3.23,0.12288
sample_000155,frb_00155,FRB,204.848817,5.685692,0.004011,0.647309,1,408.78,0.33817
sample_000156,frb_00156,FRB,185.605431,6.503817,0.0049,0.832585,1,155.2,0.72155
sample_000157,frb_00157,FRB,173.421858,11.423575,0.003025,1.398757,1,540.92,1.2288
sample_000158,frb_00158,FRB,384.494243,9.074454,0.003552,1.223583,1,301.53,0.69403
sample_000159,frb_00159,FRB,446.816939,11.937639,0.003586,0.635052,1,596.46,0.27918
sample_000160,frb_00160,FRB,260.805592,5.21148,0.004577,1.558381,0,3.18,0.02556
sample_000161,frb_00161,FRB,162.921074,6.062802,0.003501,1.548133,1,137.3,1.31531
sample_000162,frb_00162,FRB,672.7954,7.103003,0.003116,1.129326,0,2.74,0.23003
sample_000163,frb_00163,FRB,234.72319,10.696522,0.004567,1.517898,1,883.83,1.17965
sample_000164,frb_00164,FRB,635.372474,9.764114,0.004631,0.477605,1,832.07,0.09437
sample_000165,frb_00165,FRB,559.298448,10.383017,0.00342,0.759597,0,3.35,0.03932
sample_000166,frb_00166,FRB,649.652971,5.604551,0.003894,0.561689,1,243.22,0.12583
sample_000167,frb_00167,FRB,657.158405,5.951275,0.004387,1.286751,1,520.52,0.39715
sample_000168,frb_00168,FRB,682.287133,9.806787,0.004158,1.582764,0,2.79,0.21627
sample_000169,frb_00169,FRB,176.753733,9.112882,0.003214,1.394468,1,311.29,1.23077
sample_000170,frb_00170,FRB,517.571415,8.285949,0.003275,0.655526,0,4.0,0.62915
sample_000171,frb_00171,FRB,646.99477,8.161389,0.004248,1.59667,0,3.06,0.11698
sample_000172,frb_00172,FRB,716.495866,5.212883,0.004254,0.390595,0,4.4,0.00197
sample_000173,frb_00173,FRB,147.100902,5.917981,0.003596,1.187767,1,254.33,1.09314
sample_000174,frb_00174,FRB,445.608995,9.498757,0.00396,0.906712,1,481.81,0.38732
sample_000175,frb_00175,FRB,698.950644,11.184669,0.003754,0.891487,0,3.11,0.28312
sample_000176,frb_00176,FRB,694.012164,11.316397,0.004138,0.570906,1,948.18,0.0983
sample_000177,frb_00177,FRB,148.347002,11.755488,0.00351,1.310463,1,600.29,1.19931
sample_000178,frb_00178,FRB,370.107843,7.740121,0.003881,0.723367,1,145.03,0.45416
sample_000179,frb_00179,FRB,726.736084,11.281226,0.003957,0.771917,0,3.07,0.23593
sample_000180,frb_00180,FRB,145.550674,9.403456,0.003279,0.448613,1,240.19,0.24969
sample_000181,frb_00181,FRB,226.558676,11.222449,0.004693,1.120979,1,673.18,1.01253
sample_000182,frb_00182,FRB,175.617123,8.185432,0.00324,1.559769,1,251.21,1.47063
sample_000183,frb_00183,FRB,606.529931,6.737614,0.003885,0.736176,1,496.72,0.06291
sample_000184,frb_00184,FRB,148.550331,8.151617,0.003806,0.509285,1,577.26,0.35193
sample_000185,frb_00185,FRB,456.170415,11.580057,0.004543,0.51132,1,525.09,0.25756
sample_000186,frb_00186,FRB,834.601285,9.74501,0.003149,0.719855,0,14.33,0.00393
sample_000187,frb_00187,FRB,732.309384,7.489752,0.004259,0.438228,0,4.22,0.01769
sample_000188,frb_00188,FRB,244.625699,9.397714,0.004268,0.799061,1,241.47,0.57606
sample_000189,frb_00189,FRB,797.754611,6.017756,0.004367,0.853679,0,2.77,0.16613
sample_000190,frb_00190,FRB,251.133563,6.563655,0.003083,0.936947,1,86.12,0.64291
sample_000191,frb_00191,FRB,235.244956,6.390684,0.003111,0.412438,1,194.6,0.3362
sample_000192,frb_00192,FRB,854.277583,6.343061,0.004345,1.38011,0,1.99,0.02163
sample_000193,frb_00193,FRB,650.200931,4.299933,0.003532,1.244968,0,3.75,0.07078
sample_000194,frb_00194,FRB,449.394596,4.734698,0.004056,1.188439,1,176.35,0.69009
sample_000195,frb_00195,FRB,433.403917,9.258885,0.003926,1.529907,0,3.1,0.36372
sample_000196,frb_00196,FRB,449.933237,11.713908,0.004321,1.450732,1,359.13,0.93782
sample_000197,frb_00197,FRB,705.107861,7.524301,0.004387,1.093788,0,2.9,0.02753
sample_000198,frb_00198,FRB,718.985835,11.368218,0.003305,1.104202,1,95.61,0.28312
sample_000199,frb_00199,FRB,852.773384,4.131573,0.00456,0.646457,0,2.39,0.00393
sample_000200,frb_00200,FRB,285.865513,11.494565,0.004634,1.049283,1,667.44,0.6724
sample_000201,frb_00201,FRB,758.409102,8.305397,0.004136,0.894008,1,81.1,0.23396
sample_000202,frb_00202,FRB,362.096235,7.934973,0.003025,1.204519,1,95.94,0.96731
sample_000203,frb_00203,FRB,180.052414,5.541502,0.004904,0.507591,1,254.85,0.39715
sample_000204,frb_00204,FRB,337.6955,5.509515,0.004315,0.755727,1,178.65,0.23986
sample_000205,frb_00205,FRB,285.129629,5.10413,0.003834,0.456886,1,347.16,0.2143
sample_000206,frb_00206,FRB,370.387525,11.716941,0.003177,0.64783,1,976.39,0.29688
sample_000207,frb_00207,FRB,504.824873,7.377792,0.004812,0.505277,1,619.44,0.22413
sample_000208,frb_00208,FRB,656.740252,9.117001,0.003179,1.349379,1,768.81,0.41878
sample_000209,frb_00209,FRB,677.315174,8.541915,0.003215,1.192263,1,169.57,0.41484
sample_000210,frb_00210,FRB,175.431154,5.573133,0.003399,0.84,1,125.81,0.6724
sample_000211,frb_00211,FRB,191.248658,10.9627,0.003218,1.296861,1,205.99,1.09314
sample_000212,frb_00212,FRB,821.638374,11.814847,0.004092,1.205349,0,2.83,0.01671
sample_000213,frb_00213,FRB,797.785906,5.148017,0.004806,1.186908,0,2.46,0.09929
sample_000214,frb_00214,FRB,594.388867,10.747399,0.003662,0.675869,1,482.23,0.42664
sample_000215,frb_00215,FRB,246.652656,9.300356,0.004568,0.430388,1,483.43,0.36372
sample_000216,frb_00216,FRB,655.676839,5.394723,0.003003,1.140647,0,2.88,0.38044
sample_000217,frb_00217,FRB,424.066551,7.566682,0.004038,0.429495,0,2.97,0.15532
sample_000218,frb_00218,FRB,620.301835,6.416657,0.004679,0.876103,1,186.78,0.39518
sample_000219,frb_00219,FRB,626.794121,4.654606,0.004826,1.240588,0,4.16,0.27525
sample_000220,frb_00220,FRB,490.16091,6.622549,0.003639,0.4453,1,193.14,0.07274
sample_000221,frb_00221,FRB,872.611473,5.935423,0.004365,1.302337,0,0.0,0.0
sample_000222,frb_00222,FRB,413.218062,7.918769,0.004375,1.518812,0,3.55,1.03023
sample_000223,frb_00223,FRB,735.146886,10.186611,0.004892,0.804915,0,3.42,0.14844
sample_000224,frb_00224,FRB,760.314953,10.174782,0.003728,0.645673,0,3.01,0.2084
sample_000225,frb_00225,FRB,342.599165,6.524031,0.004508,1.44815,0,3.72,0.54854
sample_000226,frb_00226,FRB,301.773706,4.993192,0.003538,0.639277,1,154.76,0.27918
sample_000227,frb_00227,FRB,694.6911,8.137257,0.003158,0.602312,0,3.24,0.37356
sample_000228,frb_00228,FRB,514.421167,4.354464,0.003804,1.219842,0,3.28,0.59376
sample_000229,frb_00229,FRB,714.504391,4.068851,0.003812,1.568292,0,3.02,0.05014
sample_000230,frb_00230,FRB,181.535358,9.904566,0.004178,0.388502,1,225.36,0.232
sample_000231,frb_00231,FRB,570.413614,5.45584,0.004258,0.445413,1,129.36,0.21627
sample_000232,frb_00232,FRB,308.360165,9.009521,0.0042,0.647883,1,478.21,0.18874
sample_000233,frb_00233,FRB,337.46898,7.495139,0.004027,0.807443,1,573.92,0.70582
sample_000234,frb_00234,FRB,390.194668,11.220424,0.004528,1.004088,1,431.81,0.63111
sample_000235,frb_00235,FRB,566.95673,11.369572,0.004951,1.244649,0,3.21,0.40206
sample_000236,frb_00236,FRB,447.387529,5.077101,0.00433,0.704657,1,147.62,0.42664
sample_000237,frb_00237,FRB,195.662481,8.398593,0.003523,1.510089,1,400.19,1.40771
sample_000238,frb_00238,FRB,733.844891,7.284678,0.004916,1.022613,0,3.78,0.03342
sample_000239,frb_00239,FRB,137.599499,10.483056,0.004437,1.633258,1,805.0,1.58663
sample_000240,frb_00240,FRB,453.375726,11.278409,0.004656,1.082619,1,786.15,0.63308
sample_000241,frb_00241,FRB,363.404213,9.974008,0.003246,0.445583,1,127.34,0.15729
sample_000242,frb_00242,FRB,782.184916,4.805051,0.004433,1.406211,0,3.16,0.03244
sample_000243,frb_00243,FRB,492.732744,6.442717,0.004768,1.136717,1,287.19,0.76481
sample_000244,frb_00244,FRB,797.62139,4.070519,0.004949,0.60529,0,3.42,0.13173
sample_000245,frb_00245,FRB,808.231715,10.742552,0.004446,1.159671,0,3.47,0.05308
sample_000246,frb_00246,FRB,610.483492,9.714414,0.00389,0.53877,1,276.6,0.09044
sample_000247,frb_00247,FRB,279.531036,11.440878,0.004879,0.358205,1,293.41,0.04719
sample_000248,frb_00248,FRB,224.233529,11.338109,0.003691,1.199594,1,584.08,1.01057
sample_000249,frb_00249,FRB,480.552874,6.187405,0.003514,1.572209,0,3.41,0.52888
sample_000250,frb_00250,FRB,213.041328,10.222875,0.004789,1.643727,1,846.34,1.50012
sample_000251,frb_00251,FRB,863.063573,5.040271,0.004342,1.265974,0,1.25,0.00983
sample_000252,frb_00252,FRB,801.394721,6.563006,0.003236,0.409521,0,2.98,0.1219
sample_000253,frb_00253,FRB,301.630816,5.570271,0.003647,0.54897,1,192.42,0.28508
sample_000254,frb_00254,FRB,278.83331,6.33696,0.004203,1.641994,0,3.8,0.32932
sample_000255,frb_00255,FRB,895.860684,5.298409,0.003542,1.43065,0,0.0,0.0
sample_000256,frb_00256,FRB,788.6939,9.56701,0.003894,0.729487,1,292.52,0.15925
sample_000257,frb_00257,FRB,583.217566,7.853634,0.004002,0.830435,1,136.15,0.23986
sample_000258,frb_00258,FRB,804.199274,6.210089,0.003229,0.85385,0,2.73,0.06881
sample_000259,frb_00259,FRB,885.082846,5.745851,0.004938,0.460604,0,0.0,0.0
sample_000260,frb_00260,FRB,352.594136,11.245913,0.003369,1.539966,0,3.25,0.47677
sample_000261,frb_00261,FRB,359.464881,9.545051,0.004391,0.405496,0,4.13,0.35291
sample_000262,frb_00262,FRB,329.478017,11.70394,0.004917,0.981785,1,352.52,0.87884
sample_000263,frb_00263,FRB,634.252437,4.143931,0.004054,0.952439,0,3.5,0.39223
sample_000264,frb_00264,FRB,240.692523,8.645804,0.004236,0.989376,1,308.48,0.82182
sample_000265,frb_00265,FRB,802.823912,11.95039,0.004233,1.346973,0,2.04,0.13566
sample_000266,frb_00266,FRB,802.287576,9.768245,0.00308,1.616951,0,4.33,0.01573
sample_000267,frb_00267,FRB,401.23553,9.131501,0.003769,1.477705,0,3.71,0.11305
sample_000268,frb_00268,FRB,734.022662,8.826019,0.004247,1.158736,0,2.78,0.21234
sample_000269,frb_00269,FRB,648.050012,6.027819,0.003491,1.380555,0,3.78,0.3421
sample_000270,frb_00270,FRB,166.293978,5.600803,0.004497,0.773681,1,197.43,0.53477
sample_000271,frb_00271,FRB,180.00424,10.406456,0.003547,1.418272,1,239.51,1.3448
sample_000272,frb_00272,FRB,140.624685,9.333914,0.004934,1.268599,1,508.44,1.05972
sample_000273,frb_00273,FRB,775.589716,5.525857,0.003559,0.851909,0,2.49,0.08258
sample_000274,frb_00274,FRB,646.511282,4.994419,0.00411,0.792722,1,236.75,0.33423
sample_000275,frb_00275,FRB,706.647289,8.999445,0.004372,0.835168,0,21.89,0.01573
sample_000276,frb_00276,FRB,413.127329,7.52682,0.00388,1.512905,0,3.85,0.1219
sample_000277,frb_00277,FRB,627.066215,4.354176,0.003692,1.192107,0,2.96,0.02851
sample_000278,frb_00278,FRB,193.507198,6.766919,0.003437,1.221873,1,282.24,1.1305
sample_000279,frb_00279,FRB,860.908092,5.580416,0.004714,1.571791,0,1.52,0.01573
sample_000280,frb_00280,FRB,208.709078,11.963068,0.00448,0.779412,1,482.81,0.69992
sample_000281,frb_00281,FRB,793.906183,6.599306,0.00426,0.390966,1,49.79,0.14352
sample_000282,frb_00282,FRB,707.198593,5.935945,0.004139,0.385791,1,156.11,0.07864
sample_000283,frb_00283,FRB,331.055439,10.056413,0.004344,1.535381,0,4.0,0.13959
sample_000284,frb_00284,FRB,142.655068,5.090076,0.004503,1.097232,1,387.64,0.94765
sample_000285,frb_00285,FRB,188.884171,4.385605,0.004724,1.098138,1,193.35,0.93192
sample_000286,frb_00286,FRB,226.957083,5.185954,0.004647,1.285837,1,172.86,1.22094
sample_000287,frb_00287,FRB,286.607704,5.374372,0.004946,0.841717,1,98.15,0.75497
sample_000288,frb_00288,FRB,304.43767,11.581111,0.004861,0.764201,1,444.11,0.46203
sample_000289,frb_00289,FRB,703.177555,4.680403,0.004589,1.087242,1,107.13,0.33227
sample_000290,frb_00290,FRB,206.213794,5.762348,0.003469,1.179192,1,152.16,1.04792
sample_000291,frb_00291,FRB,511.742588,9.555756,0.003881,1.11918,1,292.75,0.44433
sample_000292,frb_00292,FRB,344.051775,5.876892,0.004254,1.29101,1,115.68,1.13639
sample_000293,frb_00293,FRB,254.044869,11.720898,0.003393,0.81018,1,639.14,0.61342
sample_000294,frb_00294,FRB,367.932794,5.842137,0.003048,1.555864,1,256.7,1.07348
