sample_id,label,fits_path,seed,arrival_time,reference_frequency,flux_density,dm_index,width,dm,profile_type,rfi_types
frb_00061,FRB,dataset/fits/frb/frb_00061.fits,93309106,1.233075,1305.417262,11.389581,-1.9,0.003031,738.172439,1,
frb_00062,FRB,dataset/fits/frb/frb_00062.fits,1567087081,1.292241,1177.746847,6.861678,-2.1,0.004283,326.212798,2,
frb_00063,FRB,dataset/fits/frb/frb_00063.fits,986607412,0.414984,1106.617709,9.303625,-1.9,0.004303,718.715587,2,
frb_00064,FRB,dataset/fits/frb/frb_00064.fits,1151541059,0.50577,1249.11872,8.943698,-2.0,0.004848,410.623556,1,
frb_00065,FRB,dataset/fits/frb/frb_00065.fits,268062141,1.616529,1133.800013,5.239144,-2.0,0.004638,470.47354,2,
frb_00066,FRB,dataset/fits/frb/frb_00066.fits,2089750183,1.639518,1210.306257,4.09403,-2.1,0.004353,157.189448,1,
frb_00067,FRB,dataset/fits/frb/frb_00067.fits,1980614225,0.481976,1312.254699,6.868873,-2.0,0.004242,585.701348,1,
frb_00068,FRB,dataset/fits/frb/frb_00068.fits,812896394,0.711151,1265.086688,7.92772,-2.0,0.004573,282.697218,1,
frb_00069,FRB,dataset/fits/frb/frb_00069.fits,169222133,0.77796,1124.077859,9.972699,-2.0,0.004341,759.951931,2,
frb_00070,FRB,dataset/fits/frb/frb_00070.fits,1185498233,1.067083,1229.621989,4.879913,-2.1,0.004386,834.581526,1,
frb_00071,FRB,dataset/fits/frb/frb_00071.fits,629595553,1.46151,1229.475725,9.421041,-2.1,0.003563,204.444515,2,
frb_00072,FRB,dataset/fits/frb/frb_00072.fits,1781132954,1.282269,1312.337553,10.889116,-1.9,0.00489,844.136533,1,
frb_00073,FRB,dataset/fits/frb/frb_00073.fits,1349993688,1.592562,1397.076814,6.199424,-2.1,0.003864,676.533543,1,
frb_00074,FRB,dataset/fits/frb/frb_00074.fits,1328261054,1.47007,1132.778418,5.040525,-2.0,0.004602,570.801908,2,
frb_00075,FRB,dataset/fits/frb/frb_00075.fits,1901493144,1.551493,1356.284319,11.498001,-2.0,0.003166,690.326534,2,
frb_00076,FRB,dataset/fits/frb/frb_00076.fits,1850501473,1.478531,1102.683999,4.932107,-2.0,0.003525,546.729068,2,
frb_00077,FRB,dataset/fits/frb/frb_00077.fits,776605305,0.377995,1166.243128,4.294585,-2.1,0.004068,762.198991,1,
frb_00078,FRB,dataset/fits/frb/frb_00078.fits,1239854304,0.46031,1113.727012,9.803302,-2.1,0.004552,468.913662,2,
frb_00079,FRB,dataset/fits/frb/frb_00079.fits,412936599,1.375751,1104.16053,10.848739,-2.1,0.004836,543.971691,2,
frb_00080,FRB,dataset/fits/frb/frb_00080.fits,1513056505,0.9364,1121.782013,8.851066,-2.1,0.004998,264.022627,1,
frb_00081,FRB,dataset/fits/frb/frb_00081.fits,149368554,0.86149,1346.622133,8.525921,-1.9,0.004314,253.719348,1,
frb_00082,FRB,dataset/fits/frb/frb_00082.fits,98407117,0.47981,1138.987394,11.660027,-1.9,0.003962,841.99169,1,
frb_00083,FRB,dataset/fits/frb/frb_00083.fits,1420052173,0.417253,1172.557787,4.217127,-1.9,0.004208,480.122057,1,
frb_00084,FRB,dataset/fits/frb/frb_00084.fits,489407816,1.046633,1265.838659,7.832524,-2.0,0.003313,284.844563,2,
frb_00085,FRB,dataset/fits/frb/frb_00085.fits,1660151622,0.453964,1355.404516,5.899093,-2.1,0.004552,307.14343,1,
frb_00086,FRB,dataset/fits/frb/frb_00086.fits,621455911,1.136327,1361.008873,9.826495,-2.0,0.003008,179.649143,2,
frb_00087,FRB,dataset/fits/frb/frb_00087.fits,2115747111,1.235385,1243.635865,6.647309,-2.1,0.004656,876.868597,2,
frb_00088,FRB,dataset/fits/frb/frb_00088.fits,171351961,0.567995,1373.766548,10.82411,-2.0,0.004334,363.599451,2,
frb_00089,FRB,dataset/fits/frb/frb_00089.fits,1836780820,0.80884,1285.988971,9.583116,-2.1,0.003344,764.68014,1,
frb_00090,FRB,dataset/fits/frb/frb_00090.fits,499914621,1.047726,1320.578109,9.744287,-2.0,0.003436,772.163541,2,
frb_00091,FRB,dataset/fits/frb/frb_00091.fits,1860759514,0.512066,1297.521359,7.404289,-2.1,0.004689,607.679678,1,
frb_00092,FRB,dataset/fits/frb/frb_00092.fits,216898921,1.335152,1391.918146,4.969543,-2.1,0.004522,549.895564,1,
frb_00093,FRB,dataset/fits/frb/frb_00093.fits,816314860,0.75794,1186.954004,11.459719,-2.1,0.004465,228.492778,1,
frb_00094,FRB,dataset/fits/frb/frb_00094.fits,596943773,1.009316,1339.174259,4.431509,-1.9,0.003997,182.084471,2,
frb_00095,FRB,dataset/fits/frb/frb_00095.fits,973691210,1.314369,1173.110739,11.601245,-2.0,0.004402,799.882979,2,
frb_00096,FRB,dataset/fits/frb/frb_00096.fits,1365121944,0.353811,1234.774351,4.891922,-2.0,0.004823,861.252994,2,
frb_00097,FRB,dataset/fits/frb/frb_00097.fits,1791238512,0.704861,1350.842905,9.509134,-2.1,0.00328,309.972742,2,
frb_00098,FRB,dataset/fits/frb/frb_00098.fits,783471137,1.328711,1286.110554,5.449209,-2.1,0.003401,408.793621,2,
frb_00099,FRB,dataset/fits/frb/frb_00099.fits,349297013,0.832764,1362.464504,4.96994,-2.1,0.003743,290.280447,2,
frb_00100,FRB,dataset/fits/frb/frb_00100.fits,794957573,1.279891,1397.984686,4.981168,-2.0,0.004463,532.174068,2,
frb_00101,FRB,dataset/fits/frb/frb_00101.fits,762938026,0.895464,1128.096388,8.590861,-2.0,0.00477,173.970309,1,
frb_00102,FRB,dataset/fits/frb/frb_00102.fits,449912920,0.599258,1346.972515,7.065932,-2.1,0.00428,367.854523,1,
frb_00103,FRB,dataset/fits/frb/frb_00103.fits,1439190227,0.908656,1109.714266,5.877373,-2.0,0.004606,396.422042,1,
frb_00104,FRB,dataset/fits/frb/frb_00104.fits,573330499,1.134925,1158.311125,5.835405,-1.9,0.003854,280.841058,2,
frb_00105,FRB,dataset/fits/frb/frb_00105.fits,1507147648,1.024355,1248.417217,8.358787,-2.0,0.003432,813.00699,1,
frb_00106,FRB,dataset/fits/frb/frb_00106.fits,2011450405,0.517266,1315.931426,9.462458,-1.9,0.004531,444.771345,1,
frb_00107,FRB,dataset/fits/frb/frb_00107.fits,1467907437,0.688438,1324.976348,4.132739,-1.9,0.003027,396.783448,1,
frb_00108,FRB,dataset/fits/frb/frb_00108.fits,1391645398,0.549898,1159.067569,8.740308,-2.1,0.003487,131.118662,1,
frb_00109,FRB,dataset/fits/frb/frb_00109.fits,153335724,0.722358,1149.49194,10.276322,-2.0,0.004961,475.32835,1,
frb_00110,FRB,dataset/fits/frb/frb_00110.fits,1308098874,1.271678,1291.851135,7.562941,-2.0,0.004076,888.024423,2,
frb_00111,FRB,dataset/fits/frb/frb_00111.fits,1363605490,1.411111,1353.674252,9.360015,-2.1,0.004906,419.798723,2,
frb_00112,FRB,dataset/fits/frb/frb_00112.fits,367517441,0.726958,1281.754974,10.001803,-2.1,0.003559,129.957803,2,
frb_00113,FRB,dataset/fits/frb/frb_00113.fits,1147056644,0.82383,1373.088382,8.929298,-2.1,0.004764,694.165362,1,
frb_00114,FRB,dataset/fits/frb/frb_00114.fits,1565787883,1.319499,1265.383967,10.685442,-1.9,0.003106,858.823509,1,
frb_00115,FRB,dataset/fits/frb/frb_00115.fits,525727462,0.890373,1336.291104,9.920565,-2.0,0.004386,472.180414,1,
frb_00116,FRB,dataset/fits/frb/frb_00116.fits,350904184,1.605442,1186.27472,8.755771,-2.1,0.003356,665.253022,2,
frb_00117,FRB,dataset/fits/frb/frb_00117.fits,992696250,1.379781,1101.178606,4.096741,-1.9,0.004804,214.966232,2,
frb_00118,FRB,dataset/fits/frb/frb_00118.fits,814874364,1.231171,1339.394949,8.576813,-2.0,0.00421,798.123294,1,
frb_00119,FRB,dataset/fits/frb/frb_00119.fits,579708538,0.654763,1190.472328,10.560166,-2.1,0.00454,159.965979,1,
frb_00120,FRB,dataset/fits/frb/frb_00120.fits,2124985204,1.638328,1179.472504,11.83847,-2.0,0.003923,830.222559,1,
frb_00121,FRB,dataset/fits/frb/frb_00121.fits,1987262418,0.501091,1268.522274,6.009508,-1.9,0.003426,562.721249,1,
frb_00122,FRB,dataset/fits/frb/frb_00122.fits,1374389013,1.502611,1301.338777,9.968813,-2.0,0.00428,620.627032,1,
frb_00123,FRB,dataset/fits/frb/frb_00123.fits,1477816547,1.451805,1341.458042,5.055776,-2.1,0.004532,561.48733,2,
frb_00124,FRB,dataset/fits/frb/frb_00124.fits,1196040477,0.499849,1313.308138,6.618656,-2.1,0.004447,817.81106,1,
frb_00125,FRB,dataset/fits/frb/frb_00125.fits,471619988,1.547593,1117.421902,11.08425,-1.9,0.004549,275.094493,1,
frb_00126,FRB,dataset/fits/frb/frb_00126.fits,1470197912,0.372164,1109.850891,4.931134,-2.0,0.004115,666.103201,1,
frb_00127,FRB,dataset/fits/frb/frb_00127.fits,696391872,1.456755,1140.285966,8.1601,-2.0,0.004226,195.175906,2,
frb_00128,FRB,dataset/fits/frb/frb_00128.fits,1810010707,0.577834,1341.249373,11.957008,-2.1,0.004131,715.362988,2,
frb_00129,FRB,dataset/fits/frb/frb_00129.fits,1649940839,0.876786,1149.556881,5.713799,-2.1,0.003031,617.844286,2,
frb_00130,FRB,dataset/fits/frb/frb_00130.fits,1666447133,1.040929,1338.711621,6.004507,-1.9,0.004171,287.178936,2,
frb_00131,FRB,dataset/fits/frb/frb_00131.fits,120125831,1.384944,1370.675774,8.333167,-1.9,0.003223,291.479365,2,
frb_00132,FRB,dataset/fits/frb/frb_00132.fits,491876989,1.287558,1216.313106,8.842278,-2.0,0.003094,164.851419,2,
frb_00133,FRB,dataset/fits/frb/frb_00133.fits,1764807638,1.474315,1127.065441,11.065374,-2.1,0.003798,174.749381,1,
frb_00134,FRB,dataset/fits/frb/frb_00134.fits,68934738,0.959198,1130.737396,6.812486,-2.1,0.004784,626.016186,2,
frb_00135,FRB,dataset/fits/frb/frb_00135.fits,1728822696,0.722432,1220.72102,7.743304,-1.9,0.004269,423.605925,2,
frb_00136,FRB,dataset/fits/frb/frb_00136.fits,677430271,1.584365,1277.627555,11.360109,-2.1,0.004231,618.394472,1,
frb_00137,FRB,dataset/fits/frb/frb_00137.fits,861494830,1.122303,1367.468685,10.507189,-2.0,0.003545,496.974674,1,
frb_00138,FRB,dataset/fits/frb/frb_00138.fits,574969168,1.406162,1277.439436,8.379858,-2.0,0.004442,517.278926,2,
frb_00139,FRB,dataset/fits/frb/frb_00139.fits,142138945,1.482764,1382.357402,9.136861,-2.0,0.004956,687.881393,1,
frb_00140,FRB,dataset/fits/frb/frb_00140.fits,453082199,1.245882,1261.271627,9.097287,-1.9,0.004106,293.160662,2,
frb_00141,FRB,dataset/fits/frb/frb_00141.fits,1960944881,1.013474,1373.196736,5.589584,-1.9,0.003076,855.031731,2,
frb_00142,FRB,dataset/fits/frb/frb_00142.fits,2024883187,0.942748,1366.016291,11.123371,-1.9,0.003185,816.605181,1,
frb_00143,FRB,dataset/fits/frb/frb_00143.fits,1218009888,1.514231,1335.217773,6.10374,-2.1,0.003686,274.106547,2,
frb_00144,FRB,dataset/fits/frb/frb_00144.fits,1881985144,1.100056,1203.792046,4.275654,-1.9,0.003428,687.16084,1,
frb_00145,FRB,dataset/fits/frb/frb_00145.fits,1541709160,1.139651,1372.697615,6.670601,-1.9,0.003827,411.892332,2,
frb_00146,FRB,dataset/fits/frb/frb_00146.fits,675765612,0.636609,1270.66564,4.652377,-2.1,0.004875,449.47026,1,
frb_00147,FRB,dataset/fits/frb/frb_00147.fits,456612024,0.723263,1189.348555,7.112374,-1.9,0.004736,125.548633,2,
frb_00148,FRB,dataset/fits/frb/frb_00148.fits,1407543819,1.440691,1213.828591,8.986839,-2.0,0.003714,865.337914,2,
frb_00149,FRB,dataset/fits/frb/frb_00149.fits,1072090969,1.369426,1116.885549,8.418225,-2.1,0.003866,166.761216,2,
frb_00150,FRB,dataset/fits/frb/frb_00150.fits,849613033,0.779227,1280.958013,11.751131,-2.0,0.003614,192.63503,1,
frb_00151,FRB,dataset/fits/frb/frb_00151.fits,1899842599,0.544949,1253.871845,10.415804,-1.9,0.003776,801.680762,2,
frb_00152,FRB,dataset/fits/frb/frb_00152.fits,1963975987,0.708417,1300.450395,11.603192,-1.9,0.00321,735.110386,1,
frb_00153,FRB,dataset/fits/frb/frb_00153.fits,1380513882,1.043782,1294.370546,11.684071,-2.1,0.003898,360.203888,2,
frb_00154,FRB,dataset/fits/frb/frb_00154.fits,985376853,1.061612,1329.922377,11.011755,-2.0,0.003055,786.908911,1,
frb_00155,FRB,dataset/fits/frb/frb_00155.fits,306814402,0.647309,1114.727957,5.685692,-2.1,0.004011,204.848817,2,
frb_00156,FRB,dataset/fits/frb/frb_00156.fits,568825840,0.832585,1298.793315,6.503817,-2.1,0.0049,185.605431,1,
frb_00157,FRB,dataset/fits/frb/frb_00157.fits,299853839,1.398757,1212.378461,11.423575,-2.0,0.003025,173.421858,1,
frb_00158,FRB,dataset/fits/frb/frb_00158.fits,529628541,1.223583,1134.897324,9.074454,-2.0,0.003552,384.494243,1,
frb_00159,FRB,dataset/fits/frb/frb_00159.fits,1599851661,0.635052,1252.634641,11.937639,-2.0,0.003586,446.816939,1,
frb_00160,FRB,dataset/fits/frb/frb_00160.fits,1205528894,1.558381,1332.679621,5.21148,-2.1,0.004577,260.805592,2,
frb_00161,FRB,dataset/fits/frb/frb_00161.fits,1157444917,1.548133,1121.646096,6.062802,-1.9,0.003501,162.921074,1,
frb_00162,FRB,dataset/fits/frb/frb_00162.fits,564233311,1.129326,1378.708599,7.103003,-2.0,0.003116,672.7954,2,
frb_00163,FRB,dataset/fits/frb/frb_00163.fits,1604199940,1.517898,1119.722401,10.696522,-1.9,0.004567,234.72319,2,
frb_00164,FRB,dataset/fits/frb/frb_00164.fits,1255388861,0.477605,1301.055798,9.764114,-2.0,0.004631,635.372474,2,
frb_00165,FRB,dataset/fits/frb/frb_00165.fits,920054628,0.759597,1103.859684,10.383017,-2.0,0.00342,559.298448,2,
frb_00166,FRB,dataset/fits/frb/frb_00166.fits,1928059963,0.561689,1283.267307,5.604551,-1.9,0.003894,649.652971,2,
frb_00167,FRB,dataset/fits/frb/frb_00167.fits,1253127417,1.286751,1138.631111,5.951275,-2.0,0.004387,657.158405,2,
frb_00168,FRB,dataset/fits/frb/frb_00168.fits,857706060,1.582764,1275.019034,9.806787,-2.0,0.004158,682.287133,2,
frb_00169,FRB,dataset/fits/frb/frb_00169.fits,777381452,1.394468,1222.734582,9.112882,-2.0,0.003214,176.753733,1,
frb_00170,FRB,dataset/fits/frb/frb_00170.fits,470987741,0.655526,1104.461981,8.285949,-1.9,0.003275,517.571415,1,
frb_00171,FRB,dataset/fits/frb/frb_00171.fits,2141740787,1.59667,1371.899378,8.161389,-2.1,0.004248,646.99477,1,
frb_00172,FRB,dataset/fits/frb/frb_00172.fits,2142195705,0.390595,1300.47562,5.212883,-2.1,0.004254,716.495866,1,
frb_00173,FRB,dataset/fits/frb/frb_00173.fits,297065155,1.187767,1288.513878,5.917981,-2.1,0.003596,147.100902,2,
frb_00174,FRB,dataset/fits/frb/frb_00174.fits,1094199381,0.906712,1173.319839,9.498757,-2.0,0.00396,445.608995,2,
frb_00175,FRB,dataset/fits/frb/frb_00175.fits,1059817200,0.891487,1335.838482,11.184669,-1.9,0.003754,698.950644,1,
frb_00176,FRB,dataset/fits/frb/frb_00176.fits,195226477,0.570906,1281.3061,11.316397,-2.0,0.004138,694.012164,2,
frb_00177,FRB,dataset/fits/frb/frb_00177.fits,1623029830,1.310463,1264.846666,11.755488,-2.0,0.00351,148.347002,1,
frb_00178,FRB,dataset/fits/frb/frb_00178.fits,101181643,0.723367,1271.129971,7.740121,-1.9,0.003881,370.107843,1,
frb_00179,FRB,dataset/fits/frb/frb_00179.fits,1849204428,0.771917,1382.593699,11.281226,-2.1,0.003957,726.736084,1,
frb_00180,FRB,dataset/fits/frb/frb_00180.fits,235469723,0.448613,1132.760064,9.403456,-1.9,0.003279,145.550674,1,
frb_00181,FRB,dataset/fits/frb/frb_00181.fits,328224240,1.120979,1335.79475,11.222449,-2.0,0.004693,226.558676,1,
frb_00182,FRB,dataset/fits/frb/frb_00182.fits,1347430115,1.559769,1327.056599,8.185432,-2.0,0.00324,175.617123,1,
frb_00183,FRB,dataset/fits/frb/frb_00183.fits,343558721,0.736176,1184.371636,6.737614,-2.0,0.003885,606.529931,2,
frb_00184,FRB,dataset/fits/frb/frb_00184.fits,1700977479,0.509285,1194.470477,8.151617,-2.0,0.003806,148.550331,2,
frb_00185,FRB,dataset/fits/frb/frb_00185.fits,1461322283,0.51132,1318.189442,11.580057,-1.9,0.004543,456.170415,2,
frb_00186,FRB,dataset/fits/frb/frb_00186.fits,906581621,0.719855,1229.890257,9.74501,-2.1,0.003149,834.601285,1,
frb_00187,FRB,dataset/fits/frb/frb_00187.fits,1280778651,0.438228,1151.452873,7.489752,-2.0,0.004259,732.309384,1,
frb_00188,FRB,dataset/fits/frb/frb_00188.fits,136424713,0.799061,1224.597546,9.397714,-2.1,0.004268,244.625699,1,
frb_00189,FRB,dataset/fits/frb/frb_00189.fits,826281507,0.853679,1365.992369,6.017756,-1.9,0.004367,797.754611,1,
frb_00190,FRB,dataset/fits/frb/frb_00190.fits,819521170,0.936947,1172.1165,6.563655,-1.9,0.003083,251.133563,1,
frb_00191,FRB,dataset/fits/frb/frb_00191.fits,1279660645,0.412438,1381.246973,6.390684,-2.0,0.003111,235.244956,1,
frb_00192,FRB,dataset/fits/frb/frb_00192.fits,2139154381,1.38011,1345.400031,6.343061,-2.1,0.004345,854.277583,2,
frb_00193,FRB,dataset/fits/frb/frb_00193.fits,1005129474,1.244968,1342.744442,4.299933,-2.0,0.003532,650.200931,2,
frb_00194,FRB,dataset/fits/frb/frb_00194.fits,1136264405,1.188439,1188.365362,4.734698,-1.9,0.004056,449.394596,2,
frb_00195,FRB,dataset/fits/frb/frb_00195.fits,539907703,1.529907,1172.986874,9.258885,-2.1,0.003926,433.403917,1,
frb_00196,FRB,dataset/fits/frb/frb_00196.fits,2085374941,1.450732,1180.978879,11.713908,-2.1,0.004321,449.933237,1,
frb_00197,FRB,dataset/fits/frb/frb_00197.fits,1188043566,1.093788,1324.818373,7.524301,-2.1,0.004387,705.107861,2,
frb_00198,FRB,dataset/fits/frb/frb_00198.fits,1848510327,1.104202,1173.817311,11.368218,-1.9,0.003305,718.985835,1,
frb_00199,FRB,dataset/fits/frb/frb_00199.fits,2023854872,0.646457,1259.899568,4.131573,-2.1,0.00456,852.773384,2,
frb_00200,FRB,dataset/fits/frb/frb_00200.fits,24655305,1.049283,1142.052183,11.494565,-1.9,0.004634,285.865513,2,
frb_00201,FRB,dataset/fits/frb/frb_00201.fits,1460897492,0.894008,1233.370286,8.305397,-1.9,0.004136,758.409102,1,
frb_00202,FRB,dataset/fits/frb/frb_00202.fits,1547738333,1.204519,1286.64281,7.934973,-1.9,0.003025,362.096235,1,
frb_00203,FRB,dataset/fits/frb/frb_00203.fits,245997990,0.507591,1305.103601,5.541502,-1.9,0.004904,180.052414,1,
frb_00204,FRB,dataset/fits/frb/frb_00204.fits,1463961868,0.755727,1109.007272,5.509515,-2.0,0.004315,337.6955,1,
