sample_id,true_label,source_true_label,vlm_predicted_label,external_predicted_label,vlm_correct,external_correct,vlm_confidence,external_confidence,vlm_frb_probability,external_frb_probability,external_n_candidates,external_aggregation,vlm_features,vlm_error,external_error,agreement
sample_000056,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000066,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000070,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000073,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,1,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000077,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000083,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000092,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000107,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000121,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000126,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000139,FRB,FRB,NON_FRB,FRB,False,True,0.95,0.9999998807907104,0.15,0.9999998807907104,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000144,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000170,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000171,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000172,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000182,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000187,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000189,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000190,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000191,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000193,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000199,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000204,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000210,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000217,FRB,FRB,NON_FRB,FRB,False,True,0.95,0.9999995231628418,0.15,0.9999995231628418,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000220,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000228,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000229,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000242,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000244,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000251,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000253,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000261,FRB,FRB,NON_FRB,FRB,False,True,0.95,0.9999997615814209,0.15,0.9999997615814209,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000270,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000273,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000282,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000287,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000289,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000300,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000303,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000309,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000315,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000334,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000336,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000347,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000350,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000356,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000363,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.1,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000385,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000388,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000389,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000395,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000401,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000408,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000410,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000413,FRB,FRB,NON_FRB,FRB,False,True,0.95,0.9999998807907104,0.15,0.9999998807907104,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000431,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000433,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000441,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000443,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000444,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000451,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000459,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000469,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000481,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":true,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":true}",,,False
sample_000486,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000492,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000493,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000495,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000502,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000510,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000511,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.1,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":true,""visible_structure"":false}",,,False
sample_000526,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
sample_000531,FRB,FRB,NON_FRB,FRB,False,True,0.95,1.0,0.15,1.0,2,max,"{""broadband"":false,""frequency_dependent_delay"":false,""localized_transient"":false,""persistent_bands"":false,""random_background_texture"":true,""repeating_pattern"":false,""saturated_or_clipped"":false,""uniform_or_constant_background"":false,""visible_structure"":false}",,,False
