sample_id,true_label,source_true_label,y_true,score_vlm,score_external,vlm_predicted_label,external_predicted_label,external_n_candidates,external_aggregation
sample_000124,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000125,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000126,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000127,FRB,FRB,1,0.85,0.9999997615814209,FRB,FRB,2,max
sample_000128,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000129,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000130,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000131,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000132,FRB,FRB,1,0.85,0.9999997615814209,FRB,FRB,2,max
sample_000133,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000134,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000135,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000136,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000137,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000138,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000139,FRB,FRB,1,0.15,0.9999998807907104,NON_FRB,FRB,2,max
sample_000140,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000141,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000142,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000143,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000144,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000145,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000146,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000147,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000148,FRB,FRB,1,0.9,0.9999997615814209,FRB,FRB,2,max
sample_000149,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000150,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000151,FRB,FRB,1,0.9,0.9999997615814209,FRB,FRB,2,max
sample_000152,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000153,FRB,FRB,1,0.92,1.0,FRB,FRB,2,max
sample_000154,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000155,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000156,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000157,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000158,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000159,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000160,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000161,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000162,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000163,FRB,FRB,1,0.9,0.9999996423721313,FRB,FRB,2,max
sample_000164,FRB,FRB,1,0.85,0.9999996423721313,FRB,FRB,2,max
sample_000165,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000166,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000167,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000168,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000169,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000170,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000171,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000172,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000173,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000174,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000175,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000176,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000177,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000178,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000179,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000180,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000181,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000182,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000183,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000184,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000185,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000186,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000187,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000188,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000189,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000190,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000191,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000192,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000193,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000194,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000195,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000196,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000197,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000198,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000199,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000200,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000201,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000202,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000203,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000204,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000205,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000206,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000207,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000208,FRB,FRB,1,0.92,1.0,FRB,FRB,2,max
sample_000209,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000210,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000211,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000212,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000213,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000214,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000215,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000216,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000217,FRB,FRB,1,0.15,0.9999995231628418,NON_FRB,FRB,2,max
sample_000218,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000219,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000220,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000221,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000222,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000223,FRB,FRB,1,0.92,0.9999997615814209,FRB,FRB,2,max
sample_000224,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000225,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000226,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000227,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000228,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000229,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000230,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000231,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000232,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000233,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000234,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000235,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000236,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000237,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000238,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000239,FRB,FRB,1,0.85,0.9999996423721313,FRB,FRB,1,max
sample_000240,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000241,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000242,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000243,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000244,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000245,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000246,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000247,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000248,FRB,FRB,1,0.9,0.9999997615814209,FRB,FRB,2,max
sample_000249,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000250,FRB,FRB,1,0.9,0.9999996423721313,FRB,FRB,1,max
sample_000251,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000252,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000253,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000254,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000255,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000256,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000257,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000258,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000259,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000260,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000261,FRB,FRB,1,0.15,0.9999997615814209,NON_FRB,FRB,2,max
sample_000262,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000263,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000264,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000265,FRB,FRB,1,0.85,0.9999997615814209,FRB,FRB,2,max
sample_000266,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000267,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000268,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000269,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000270,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000271,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000272,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000273,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000274,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000275,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000276,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000277,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000278,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000279,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000280,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000281,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000282,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000283,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000284,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000285,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000286,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000287,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000288,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000289,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000290,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000291,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000292,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000293,FRB,FRB,1,0.9,0.9999997615814209,FRB,FRB,2,max
sample_000294,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000295,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000296,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000297,FRB,FRB,1,0.85,0.9999997615814209,FRB,FRB,2,max
sample_000298,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000299,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000300,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000301,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000302,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000303,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000304,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000305,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000306,FRB,FRB,1,0.85,0.9999997615814209,FRB,FRB,2,max
sample_000307,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000308,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000309,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000310,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000311,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000312,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000313,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000314,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000315,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000316,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000317,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000318,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000319,FRB,FRB,1,0.75,1.0,FRB,FRB,2,max
sample_000320,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000321,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000322,FRB,FRB,1,0.75,0.9999998807907104,FRB,FRB,2,max
sample_000323,FRB,FRB,1,0.85,0.9999995231628418,FRB,FRB,2,max
sample_000324,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000325,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000326,FRB,FRB,1,0.9,0.9999997615814209,FRB,FRB,2,max
sample_000327,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000328,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000329,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000330,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000331,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000332,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000333,FRB,FRB,1,0.92,0.9999997615814209,FRB,FRB,2,max
sample_000334,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000335,FRB,FRB,1,0.92,0.9999997615814209,FRB,FRB,2,max
sample_000336,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000337,FRB,FRB,1,0.85,0.9999997615814209,FRB,FRB,2,max
sample_000338,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000339,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000340,FRB,FRB,1,0.88,1.0,FRB,FRB,2,max
sample_000341,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000342,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000343,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000344,FRB,FRB,1,0.85,0.9999998807907104,FRB,FRB,2,max
sample_000345,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000346,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000347,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000348,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000349,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000350,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000351,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000352,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000353,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000354,FRB,FRB,1,0.9,1.0,FRB,FRB,2,max
sample_000355,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000356,FRB,FRB,1,0.15,1.0,NON_FRB,FRB,2,max
sample_000357,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000358,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000359,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000360,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000361,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000362,FRB,FRB,1,0.88,0.9999998807907104,FRB,FRB,2,max
sample_000363,FRB,FRB,1,0.1,1.0,NON_FRB,FRB,2,max
sample_000364,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000365,FRB,FRB,1,0.9,0.9999998807907104,FRB,FRB,2,max
sample_000366,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
sample_000367,FRB,FRB,1,0.85,1.0,FRB,FRB,2,max
